GPU,Oct eBay Price,QTY Sold,Retail Price,Sept eBay Price,Monthly Change,FPS/$
GeForce RTX 2080 Ti,$410,353,$0,$464,-11.6%,0.2342
GeForce RTX 2080 Super,$309,193,$0,$350,-11.8%,0.2751
GeForce RTX 2080,$277,210,$0,$293,-5.3%,0.2963
GeForce RTX 2070 Super,$262,331,$0,$291,-10.1%,0.2922
GeForce RTX 2070,$226,190,$380,$250,-9.7%,0.3009
GeForce RTX 2060 Super,$218,229,$320,$243,-10.1%,0.2981
GeForce RTX 2060,$184,329,$220,$209,-11.9%,0.2998
GeForce GTX 1660 Ti,$139,344,$230,$158,-12.3%,0.3241
GeForce GTX 1660 Super,$131,803,$180,$150,-12.6%,0.3448
GeForce GTX 1660,$120,133,$170,$146,-17.7%,0.3355
GeForce GTX 1650 Super,$120,115,$222,$129,-7.5%,0.2836
GeForce GTX 1650,$126,251,$170,$130,-2.6%,0.2127
Radeon RX 5700 XT,$177,741,$0,$206,-13.9%,0.4158
Radeon RX 5700,$157,68,$0,$194,-18.8%,0.4118
Radeon RX 5600 XT,$134,189,$0,$167,-19.4%,0.4321
Radeon RX 5500 XT 8GB,$121,85,$0,$133,-9.3%,0.3298
Radeon RX 5500 XT 4GB,$99,15,$0,$107,-7.5%,0.3371
