GPU,Dec eBay Price,QTY Sold,Nov eBay Price,Monthly Change,FPS/$
GeForce RTX 4090,"$2,194",655,"$2,216",-1.0%,0.0674
GeForce RTX 4080,"$1,374",176,"$1,503",-8.6%,0.1029
GeForce RTX 3090 Ti,"$1,182",180,"$1,218",-2.9%,0.1113
GeForce RTX 3090,$867,1273,$871,-0.6%,0.1478
GeForce RTX 3080 Ti,$846,772,$811,4.3%,0.1492
GeForce RTX 3080 12GB,$810,107,$758,6.9%,0.1552
GeForce RTX 3080,$616,2000,$594,3.7%,0.1946
GeForce RTX 3070 Ti,$499,833,$479,4.1%,0.2112
GeForce RTX 3070,$397,2325,$390,1.9%,0.2513
GeForce RTX 3060 Ti,$332,2100,$325,2.2%,0.2758
GeForce RTX 3060,$285,1147,$290,-1.7%,0.2463
GeForce RTX 3050,$237,99,$234,1.6%,0.2168
Radeon RX 7900 XTX,"$1,433",141,—,—,0.0992
Radeon RX 7900 XT,"$1,140",13,—,—,0.1182
Radeon RX 6950 XT,$726,26,$830,-12.5%,0.1949
Radeon RX 6900 XT,$657,154,$655,0.3%,0.2071
Radeon RX 6800 XT,$531,461,$512,3.6%,0.2439
Radeon RX 6800,$441,183,$416,5.9%,0.2671
Radeon RX 6750 XT,$405,11,$354,14.5%,0.26
Radeon RX 6700 XT,$318,854,$310,2.8%,0.3134
Radeon RX 6700 10GB,$323,2,$330,-2.3%,0.2719
Radeon RX 6650 XT,$334,31,$292,14.7%,0.2387
Radeon RX 6600 XT,$219,582,$217,1.3%,0.3556
Radeon RX 6600,$184,460,$179,2.6%,0.3632
Radeon RX 6500 XT,$138,50,$135,2.6%,0.2226
Radeon RX 6400,$138,42,$130,6.1%,0.1716
Intel Arc A770 16GB,$384,16,$437,-12.1%,0.2021
Intel Arc A770 8GB,$730,1,—,—,0.1015
Intel Arc A750,$254,8,$265,-4.1%,0.2652
Intel Arc A380,$131,3,$131,0.0%,0.2161
