GPU,Avg eBay Price,QTY Sold,Gross Sales,FPS/$
GeForce RTX 2080 Ti,"$1,097",338,"$370,826.56",0.1077
GeForce RTX 2080 Super,$811,212,"$171,938.36",0.1259
GeForce RTX 2080,$743,187,"$139,012.06",0.1285
GeForce RTX 2070 Super,$666,254,"$169,250.36",0.1366
GeForce RTX 2070,$727,364,"$264,686.24",0.1114
GeForce RTX 2060 Super,$667,260,"$173,362.80",0.1158
GeForce RTX 2060,$534,446,"$237,994.52",0.1285
GeForce GTX 1660 Ti,$498,316,"$157,462.80",0.1159
GeForce GTX 1660 Super,$519,768,"$398,814.72",0.1115
GeForce GTX 1660,$430,315,"$135,402.75",0.1166
GeForce GTX 1650 Super,$313,239,"$74,893.04",0.1387
GeForce GTX 1650,$308,559,"$172,127.28",0.1036
Radeon RX 5700 XT,$911,1207,"$1,099,456.30",0.095
Radeon RX 5700,$818,131,"$107,143.59",0.0959
Radeon RX 5600 XT,$614,243,"$149,248.17",0.1158
Radeon RX 5500 XT 8GB,$415,106,"$44,019.68",0.117
Radeon RX 5500 XT 4GB,$326,48,"$15,668.16",0.1327
