GPU,Avg eBay Price,QTY Sold,Gross Sales,FPS/$
GeForce RTX 2080 Ti,"$1,127",350,"$394,527.00",0.1048
GeForce RTX 2080 Super,$824,216,"$178,053.12",0.1238
GeForce RTX 2080,$751,158,"$118,583.74",0.1272
GeForce RTX 2070 Super,$704,401,"$282,452.37",0.1292
GeForce RTX 2070,$643,222,"$142,701.60",0.1261
GeForce RTX 2060 Super,$640,225,"$143,993.25",0.1207
GeForce RTX 2060,$518,467,"$241,812.60",0.1324
GeForce GTX 1660 Ti,$459,300,"$137,733.00",0.1258
GeForce GTX 1660 Super,$498,725,"$361,311.00",0.1162
GeForce GTX 1660,$401,262,"$105,140.60",0.1249
GeForce GTX 1650 Super,$311,214,"$66,461.98",0.14
GeForce GTX 1650,$281,563,"$158,360.64",0.1134
Radeon RX 5700 XT,$810,954,"$772,654.14",0.1068
Radeon RX 5700,$794,182,"$144,493.44",0.0988
Radeon RX 5600 XT,$543,192,"$104,302.08",0.1309
Radeon RX 5500 XT 8GB,$365,84,"$30,626.40",0.1333
Radeon RX 5500 XT 4GB,$283,26,"$7,361.12",0.153
