GPU,Avg eBay Price,QTY Sold,Gross Sales,FPS/$
GeForce RTX 3090 Ti,"$2,724",11,"$29,966",0.0481
GeForce RTX 3090,"$2,111",983,"$2,075,152",0.06
GeForce RTX 3080 Ti,"$1,531",687,"$1,051,873",0.0795
GeForce RTX 3080 12GB,"$1,378",69,"$95,056",0.0894
GeForce RTX 3080,"$1,283",1355,"$1,738,289",0.0895
GeForce RTX 3070 Ti,$880,1097,"$964,855",0.117
GeForce RTX 3070,$858,1567,"$1,344,721",0.1147
GeForce RTX 3060 Ti,$754,1935,"$1,459,261",0.1197
GeForce RTX 3060 12GB,$580,1135,"$658,379",0.1196
GeForce RTX 3050,$416,221,"$92,035",0.1225
Radeon RX 6900 XT,"$1,256",173,"$217,227",0.1029
Radeon RX 6800 XT,$996,254,"$252,882",0.1234
Radeon RX 6800,$888,98,"$87,038",0.1241
Radeon RX 6700 XT,$643,570,"$366,567",0.1477
Radeon RX 6600 XT,$495,485,"$239,842",0.1583
Radeon RX 6600,$403,274,"$110,554",0.1661
Radeon RX 6500 XT,$237,69,"$16,324",0.1302
