GPU,Avg eBay Price,QTY Sold,Last Price,Monthly Change,Gross Sales,FPS/$
GeForce RTX 3090 Ti,"$1,538",107,"$1,829",-15.9%,"$164,599",0.0861
GeForce RTX 3090,"$1,098",885,"$1,438",-23.7%,"$971,588",0.1153
GeForce RTX 3080 Ti,$956,499,"$1,134",-15.7%,"$476,914",0.1291
GeForce RTX 3080 12GB,$835,40,$959,-13.0%,"$33,389",0.1492
GeForce RTX 3080,$728,1134,$899,-19.0%,"$825,915",0.1596
GeForce RTX 3070 Ti,$620,634,$710,-12.6%,"$393,296",0.1678
GeForce RTX 3070,$518,1472,$641,-19.3%,"$761,996",0.1927
GeForce RTX 3060 Ti,$461,1324,$579,-20.4%,"$610,046",0.1986
GeForce RTX 3060,$379,646,$424,-10.6%,"$244,556",0.1854
GeForce RTX 3050,$304,124,$315,-3.3%,"$37,756",0.1689
Radeon RX 6950 XT,"$1,069",10,"$1,600",-33.2%,"$10,693",0.1284
Radeon RX 6900 XT,$767,176,$875,-12.4%,"$134,908",0.1692
Radeon RX 6800 XT,$625,228,$767,-18.6%,"$142,393",0.1978
Radeon RX 6800,$551,148,$655,-15.9%,"$81,547",0.201
Radeon RX 6750 XT,$513,5,$511,0.3%,"$2,565",0.1973
Radeon RX 6700 XT,$407,421,$477,-14.7%,"$171,322",0.2353
Radeon RX 6650 XT,$368,43,$400,-8.0%,"$15,817",0.2172
Radeon RX 6600 XT,$299,417,$350,-14.6%,"$124,570",0.2613
Radeon RX 6600,$258,221,$290,-11.1%,"$56,989",0.2586
Radeon RX 6500 XT,$171,52,$192,-11.0%,"$8,868",0.1784
Radeon RX 6400,$153,3,$151,1.8%,$460,0.1543
