GPU,Avg eBay Price,QTY Sold,Gross Sales,FPS/$
GeForce RTX 3090 Ti,"$2,300",66,"$151,803",0.0569
GeForce RTX 3090,"$1,770",999,"$1,768,130",0.0715
GeForce RTX 3080 Ti,"$1,291",665,"$858,296",0.0943
GeForce RTX 3080 12GB,"$1,025",90,"$92,237",0.1201
GeForce RTX 3080,"$1,114",1419,"$1,580,340",0.1031
GeForce RTX 3070 Ti,$779,1037,"$807,688",0.1321
GeForce RTX 3070,$777,1709,"$1,327,397",0.1267
GeForce RTX 3060 Ti,$657,1747,"$1,147,430",0.1375
GeForce RTX 3060 12GB,$480,589,"$282,520",0.1447
GeForce RTX 3050,$356,98,"$34,934",0.1431
Radeon RX 6900 XT,"$1,059",186,"$196,901",0.122
Radeon RX 6800 XT,$845,326,"$275,578",0.1454
Radeon RX 6800,$755,198,"$149,444",0.146
Radeon RX 6700 XT,$554,628,"$347,604",0.1716
Radeon RX 6600 XT,$422,410,"$173,123",0.1854
Radeon RX 6600,$365,400,"$145,928",0.1837
Radeon RX 6500 XT,$221,61,"$13,471",0.1395
