GPU,Avg eBay Price,QTY Sold,Gross Sales,FPS/$
GeForce RTX 2080 Ti,"$1,186",339,"$401,999.76",0.0996
GeForce RTX 2080 Super,$849,166,"$140,972.18",0.1202
GeForce RTX 2080,$776,174,"$135,076.20",0.123
GeForce RTX 2070 Super,$759,285,"$216,357.75",0.1199
GeForce RTX 2070,$686,195,"$133,822.65",0.1181
GeForce RTX 2060 Super,$705,192,"$135,306.24",0.1096
GeForce RTX 2060,$574,493,"$282,962.28",0.1194
GeForce GTX 1660 Ti,$500,353,"$176,443.52",0.1156
GeForce GTX 1660 Super,$540,903,"$487,845.75",0.1072
GeForce GTX 1660,$430,233,"$100,075.83",0.1167
GeForce GTX 1650 Super,$334,314,"$104,926.24",0.1301
GeForce GTX 1650,$318,490,"$155,599.50",0.1005
Radeon RX 5700 XT,$933,953,"$889,149.00",0.0927
Radeon RX 5700,$886,112,"$99,224.16",0.0885
Radeon RX 5600 XT,$626,173,"$108,233.99",0.1137
Radeon RX 5500 XT 8GB,$459,65,"$29,842.15",0.1059
Radeon RX 5500 XT 4GB,$340,35,"$11,886.35",0.1276
