GPU,Avg eBay Price,QTY Sold,Gross Sales,FPS/$
GeForce RTX 3090 Ti,"$1,829",44,"$80,487",0.0724
GeForce RTX 3090,"$1,438",754,"$1,084,267",0.0880
GeForce RTX 3080 Ti,"$1,134",617,"$699,838",0.1088
GeForce RTX 3080 12GB,$959,69,"$66,202",0.1298
GeForce RTX 3080,$899,1197,"$1,076,510",0.1293
GeForce RTX 3070 Ti,$710,850,"$603,568",0.1466
GeForce RTX 3070,$641,1364,"$874,706",0.1556
GeForce RTX 3060 Ti,$579,1558,"$902,316",0.1580
GeForce RTX 3060,$424,804,"$340,599",0.1657
GeForce RTX 3050,$315,139,"$43,770",0.1634
Radeon RX 6950 XT,"$1,600",2,"$3,200",0.0858
Radeon RX 6900 XT,$875,172,"$150,519",0.1482
Radeon RX 6800 XT,$767,265,"$203,350",0.1610
Radeon RX 6800,$655,154,"$100,878",0.1691
Radeon RX 6750 XT,$511,4,"$2,045",0.1979
Radeon RX 6700 XT,$477,389,"$185,471",0.2008
Radeon RX 6650 XT,$400,0,$0,0.1997
Radeon RX 6600 XT,$350,375,"$131,220",0.2231
Radeon RX 6600,$290,174,"$50,469",0.2299
Radeon RX 6500 XT,$192,49,"$9,392",0.1588
Radeon RX 6400,$151,4,$602,Not Tested
