GPU,May eBay Price,QTY Sold,Retail Price,Apr eBay Price,Monthly Change,FPS/$
GeForce RTX 2080 Ti,$377,194,"$1,200",$379,-0.7%,0.2604
GeForce RTX 2080 Super,$250,198,$700,$265,-5.7%,0.3468
GeForce RTX 2080,$218,207,$700,$230,-5.5%,0.3839
GeForce RTX 2070 Super,$210,276,$500,$229,-8.2%,0.3728
GeForce RTX 2070,$180,121,$500,$201,-10.4%,0.3903
GeForce RTX 2060 Super,$190,111,$400,$201,-5.6%,0.3486
GeForce RTX 2060,$154,349,$289,$168,-8.3%,0.3634
GeForce GTX 1660 Ti,$129,183,$256,$135,-4.2%,0.3486
GeForce GTX 1660 Super,$114,590,$229,$125,-8.8%,0.3982
GeForce GTX 1660,$96,101,$229,$109,-11.6%,0.4184
GeForce GTX 1650 Super,$101,90,$239,$103,-2.4%,0.336
GeForce GTX 1650,$109,214,$178,$112,-2.8%,0.2472
Radeon RX 5700 XT,$151,547,$400,$156,-3.5%,0.487
Radeon RX 5700,$129,69,$350,$139,-6.9%,0.4999
Radeon RX 5600 XT,$118,107,$280,$122,-2.7%,0.4885
Radeon RX 5500 XT 8GB,$96,37,$200,$101,-4.7%,0.4127
Radeon RX 5500 XT 4GB,$101,27,$170,$83,22.9%,0.3283
