GPU,Avg eBay Price,QTY Sold,Gross Sales,FPS/$
GeForce RTX 2080 Ti,"$1,137",338,"$384,201.22",0.104
GeForce RTX 2080 Super,$860,189,"$162,522.99",0.1187
GeForce RTX 2080,$775,174,"$134,867.40",0.1232
GeForce RTX 2070 Super,$701,222,"$155,721.90",0.1297
GeForce RTX 2070,$763,351,"$267,728.76",0.1062
GeForce RTX 2060 Super,$701,212,"$148,707.40",0.1101
GeForce RTX 2060,$571,503,"$287,197.91",0.1201
GeForce GTX 1660 Ti,$532,266,"$141,485.40",0.1086
GeForce GTX 1660 Super,$558,755,"$421,101.25",0.1038
GeForce GTX 1660,$457,317,"$144,751.71",0.1098
GeForce GTX 1650 Super,$333,340,"$113,311.80",0.1304
GeForce GTX 1650,$308,544,"$167,573.76",0.1036
Radeon RX 5700 XT,$963,962,"$926,713.84",0.0898
Radeon RX 5700,$872,123,"$107,248.62",0.0899
Radeon RX 5600 XT,$568,111,"$63,089.07",0.1251
Radeon RX 5500 XT 8GB,$466,64,"$29,806.72",0.1044
Radeon RX 5500 XT 4GB,$349,43,"$15,019.90",0.124
