GPU,Avg eBay Price,QTY Sold,Gross Sales,FPS/$
GeForce RTX 2080 Ti,$976,307,"$299,653.49",0.1211
GeForce RTX 2080 Super,$741,188,"$139,308.00",0.1377
GeForce RTX 2080,$665,132,"$87,761.52",0.1436
GeForce RTX 2070 Super,$627,281,"$176,181.38",0.1451
GeForce RTX 2070,$579,191,"$110,575.63",0.14
GeForce RTX 2060 Super,$579,218,"$126,150.06",0.1334
GeForce RTX 2060,$446,218,"$97,169.14",0.1538
GeForce GTX 1660 Ti,$403,221,"$89,091.73",0.1433
GeForce GTX 1660 Super,$422,799,"$337,489.61",0.1371
GeForce GTX 1660,$363,244,"$88,652.52",0.1379
GeForce GTX 1650 Super,$265,162,"$42,920.28",0.1641
GeForce GTX 1650,$253,377,"$95,286.75",0.1262
Radeon RX 5700 XT,$713,796,"$567,555.96",0.1214
Radeon RX 5700,$694,125,"$86,735.00",0.113
Radeon RX 5600 XT,$473,183,"$86,624.88",0.1502
Radeon RX 5500 XT 8GB,$355,63,"$22,380.75",0.1368
Radeon RX 5500 XT 4GB,$277,15,"$4,158.90",0.1562
